,loss,acc,val_loss,val_acc
0,1.20615816116333,0.5018073320388794,1.0688623189926147,0.5682582259178162
1,1.0345957279205322,0.58242267370224,1.0193365812301636,0.5965030193328857
2,0.993671715259552,0.601147472858429,0.9946887493133545,0.6067585945129395
3,0.97629314661026,0.6112769246101379,0.9819936752319336,0.6102891564369202
4,0.9577416777610779,0.6192417740821838,0.9733189940452576,0.6112979054450989
5,0.9474858045578003,0.6220368146896362,0.9668285846710205,0.6160053610801697
6,0.9383818507194519,0.6265131235122681,0.9593430161476135,0.6178547143936157
7,0.9285801649093628,0.6288248300552368,0.9624167084693909,0.617602527141571
8,0.9237726926803589,0.6309053301811218,0.9546531438827515,0.6187794208526611
9,0.9156085848808289,0.635003387928009,0.9480054378509521,0.6194519400596619
10,0.9129884839057922,0.6360331177711487,0.9543237090110779,0.6189475655555725
11,0.9100977182388306,0.6382397413253784,0.9482759833335876,0.6211331486701965
12,0.9040551781654358,0.6408876776695251,0.951302707195282,0.6218897104263306
13,0.900314450263977,0.6414971351623535,0.9439132213592529,0.6207128167152405
14,0.8972030282020569,0.6433044672012329,0.9459002614021301,0.6228984594345093
15,0.8944067358970642,0.6458263397216797,0.9440271854400635,0.6243274807929993
16,0.8919212222099304,0.6437457799911499,0.9457470178604126,0.6222259402275085
17,0.8848720192909241,0.6463937163352966,0.9404707551002502,0.6229825019836426
18,0.8866848349571228,0.6483691930770874,0.9454944729804993,0.6216375231742859
19,0.8822826743125916,0.6489576101303101,0.9376710057258606,0.6225622296333313
